family,name_x,name_y,len_x,len_y,pid,bin,n_ref,sw_prec,sw_rec,sw_f1,sw_ms,dedal_prec,dedal_rec,dedal_f1,dedal_ms
PF00595,TX1B3_CAEEL/25-114,EM55_HUMAN/71-149,90,79,0.1739,1,77,1.0,0.3506,0.5192,13.81,0.7536,0.6753,0.7123,525.5
PF00104,Q95XH8_CAEEL/105-290,E3LTE6_CAERE/188-401,186,214,0.1204,1,184,0.43,0.2337,0.3028,82.78,0.6935,0.7011,0.6973,571.01
PF01565,YITY_BACSU/45-181,BBE10_ARATH/77-216,137,140,0.1958,1,134,0.8148,0.6567,0.7273,36.86,0.8872,0.8806,0.8839,520.7
PF00018,CSK_CHICK/15-62,NCF2_HUMAN/246-291,48,46,0.1667,1,46,0.9762,0.8913,0.9318,4.25,0.8696,0.8696,0.8696,508.85
PF00041,PTPRB_HUMAN/644-731,FINC_BOVIN/1815-1899,88,85,0.1053,1,78,0.0,0.0,0.0,16.44,0.7808,0.7308,0.755,511.28
PF00010,Q9W4J8_DROME/255-343,BIM2_ARATH/46-96,89,51,0.1685,1,51,0.9643,0.5294,0.6835,8.78,0.9804,0.9804,0.9804,598.21
PF00027,Q7NK18_GLOVI/28-115,Q8F0W9_LEPIN/12-99,88,88,0.1889,1,86,0.875,0.814,0.8434,17.43,0.8864,0.907,0.8966,631.26
PF00595,AFAD_HUMAN/1009-1090,PTP1_CAEEL/616-703,82,88,0.1868,1,79,0.8103,0.5949,0.6861,13.43,0.7975,0.7975,0.7975,526.58
PF00076,NUCL_CHICK/283-351,RU17_DROME/104-174,69,71,0.1806,1,68,0.8226,0.75,0.7846,9.32,0.8971,0.8971,0.8971,515.79
PF00046,NKX25_RAT/138-194,WUS_SOLLC/23-85,57,63,0.1746,1,57,1.0,0.2632,0.4167,6.79,0.9825,0.9825,0.9825,531.79
PF00046,PBX1_HUMAN/234-293,WOX4_ARATH/87-148,60,62,0.1846,1,57,0.5556,0.3509,0.4301,6.87,0.9107,0.8947,0.9027,607.87
PF00076,SFPQ_HUMAN/373-442,RNP1_YEAST/37-108,70,72,0.1806,1,70,0.0,0.0,0.0,9.58,0.9706,0.9429,0.9565,474.05
